frame_id,timestamp,predicted_driver_state
0,0.0,drowsy
1,0.05,drowsy
2,0.1,drowsy
3,0.15,drowsy
4,0.2,drowsy
5,0.25,drowsy
6,0.3,drowsy
7,0.35,drowsy
8,0.4,drowsy
9,0.45,drowsy
10,0.5,drowsy
11,0.55,drowsy
12,0.6,drowsy
13,0.65,drowsy
14,0.7,drowsy
15,0.75,drowsy
16,0.8,drowsy
17,0.85,drowsy
18,0.9,drowsy
19,0.95,drowsy
20,1.0,drowsy
21,1.05,drowsy
22,1.1,drowsy
23,1.15,drowsy
24,1.2,drowsy
25,1.25,drowsy
26,1.3,drowsy
27,1.35,drowsy
28,1.4,drowsy
29,1.45,drowsy
30,1.5,drowsy
31,1.55,drowsy
32,1.6,drowsy
33,1.65,drowsy
34,1.7,drowsy
35,1.75,drowsy
36,1.8,drowsy
37,1.85,drowsy
38,1.9,drowsy
39,1.95,drowsy
40,2.0,drowsy
41,2.05,microsleep
42,2.1,microsleep
43,2.15,microsleep
44,2.2,microsleep
45,2.25,microsleep
46,2.3,microsleep
47,2.35,microsleep
48,2.4,microsleep
49,2.45,microsleep
50,2.5,microsleep
51,2.55,microsleep
52,2.6,microsleep
53,2.65,microsleep
54,2.7,microsleep
55,2.75,microsleep
56,2.8,microsleep
57,2.85,microsleep
58,2.9,microsleep
59,2.95,microsleep
60,3.0,microsleep
61,3.05,microsleep
62,3.1,microsleep
63,3.15,microsleep
64,3.2,microsleep
65,3.25,microsleep
66,3.3,microsleep
67,3.35,microsleep
68,3.4,microsleep
69,3.45,microsleep
70,3.5,microsleep
71,3.55,microsleep
72,3.6,microsleep
73,3.65,microsleep
74,3.7,microsleep
75,3.75,microsleep
76,3.8,microsleep
77,3.85,microsleep
78,3.9,microsleep
79,3.95,microsleep
80,4.0,microsleep
81,4.05,microsleep
82,4.1,microsleep
83,4.15,microsleep
84,4.2,microsleep
85,4.25,microsleep
86,4.3,microsleep
87,4.35,microsleep
88,4.4,microsleep
89,4.45,microsleep
90,4.5,microsleep
91,4.55,microsleep
92,4.6,microsleep
93,4.65,microsleep
94,4.7,microsleep
95,4.75,microsleep
96,4.8,microsleep
97,4.85,microsleep
98,4.9,microsleep
99,4.95,microsleep
100,5.0,microsleep
101,5.05,microsleep
102,5.1,microsleep
103,5.15,microsleep
104,5.2,microsleep
105,5.25,microsleep
106,5.3,microsleep
107,5.35,microsleep
108,5.4,microsleep
109,5.45,microsleep
110,5.5,microsleep
111,5.55,microsleep
112,5.6,microsleep
113,5.65,microsleep
114,5.7,microsleep
115,5.75,microsleep
116,5.8,microsleep
117,5.85,microsleep
118,5.9,microsleep
119,5.95,microsleep
120,6.0,microsleep
121,6.05,microsleep
122,6.1,microsleep
123,6.15,microsleep
124,6.2,microsleep
125,6.25,microsleep
126,6.3,microsleep
127,6.35,microsleep
128,6.4,microsleep
129,6.45,microsleep
130,6.5,microsleep
131,6.55,microsleep
132,6.6,microsleep
133,6.65,microsleep
134,6.7,microsleep
135,6.75,microsleep
136,6.8,microsleep
137,6.85,microsleep
138,6.9,microsleep
139,6.95,microsleep
140,7.0,microsleep
141,7.05,microsleep
142,7.1,microsleep
143,7.15,microsleep
144,7.2,microsleep
145,7.25,microsleep
146,7.3,microsleep
147,7.35,microsleep
148,7.4,microsleep
149,7.45,microsleep
150,7.5,microsleep
151,7.55,microsleep
152,7.6,microsleep
153,7.65,microsleep
154,7.7,microsleep
155,7.75,microsleep
156,7.8,microsleep
157,7.85,microsleep
158,7.9,microsleep
159,7.95,microsleep
160,8.0,microsleep
161,8.05,microsleep
162,8.1,microsleep
163,8.15,microsleep
164,8.2,microsleep
165,8.25,microsleep
166,8.3,microsleep
167,8.35,microsleep
168,8.4,microsleep
169,8.45,microsleep
170,8.5,microsleep
171,8.55,microsleep
172,8.6,microsleep
173,8.65,microsleep
174,8.7,microsleep
175,8.75,microsleep
176,8.8,microsleep
177,8.85,microsleep
178,8.9,microsleep
179,8.95,microsleep
180,9.0,microsleep
181,9.05,microsleep
182,9.1,microsleep
183,9.15,microsleep
184,9.2,microsleep
185,9.25,microsleep
186,9.3,microsleep
187,9.35,microsleep
188,9.4,microsleep
189,9.45,microsleep
190,9.5,microsleep
191,9.55,microsleep
192,9.6,microsleep
193,9.65,microsleep
194,9.7,microsleep
195,9.75,microsleep
196,9.8,microsleep
197,9.85,microsleep
198,9.9,microsleep
199,9.95,microsleep
200,10.0,microsleep
201,10.05,microsleep
202,10.1,microsleep
203,10.15,microsleep
204,10.2,microsleep
205,10.25,microsleep
206,10.3,microsleep
207,10.35,microsleep
208,10.4,microsleep
209,10.45,microsleep
210,10.5,microsleep
211,10.55,microsleep
212,10.6,microsleep
213,10.65,microsleep
214,10.7,microsleep
215,10.75,microsleep
216,10.8,microsleep
217,10.85,microsleep
218,10.9,microsleep
219,10.95,microsleep
220,11.0,microsleep
221,11.05,microsleep
222,11.1,microsleep
223,11.15,microsleep
224,11.2,microsleep
225,11.25,microsleep
226,11.3,microsleep
227,11.35,microsleep
228,11.4,microsleep
229,11.45,microsleep
230,11.5,microsleep
231,11.55,microsleep
232,11.6,microsleep
233,11.65,microsleep
234,11.7,microsleep
235,11.75,microsleep
236,11.8,microsleep
237,11.85,microsleep
238,11.9,microsleep
239,11.95,microsleep
240,12.0,microsleep
241,12.05,microsleep
242,12.1,microsleep
243,12.15,microsleep
244,12.2,microsleep
245,12.25,microsleep
246,12.3,microsleep
247,12.35,microsleep
248,12.4,microsleep
249,12.45,microsleep
250,12.5,microsleep
251,12.55,microsleep
252,12.6,microsleep
253,12.65,microsleep
254,12.7,microsleep
255,12.75,microsleep
256,12.8,microsleep
257,12.85,microsleep
258,12.9,microsleep
259,12.95,microsleep
260,13.0,microsleep
261,13.05,microsleep
262,13.1,microsleep
263,13.15,microsleep
264,13.2,microsleep
265,13.25,microsleep
266,13.3,microsleep
267,13.35,microsleep
268,13.4,microsleep
269,13.45,microsleep
270,13.5,microsleep
271,13.55,microsleep
272,13.6,microsleep
273,13.65,microsleep
274,13.7,microsleep
275,13.75,microsleep
276,13.8,microsleep
277,13.85,microsleep
278,13.9,microsleep
279,13.95,microsleep
280,14.0,microsleep
281,14.05,microsleep
282,14.1,microsleep
283,14.15,microsleep
284,14.2,microsleep
