frame_id,timestamp,state_id,state,predicted_driver_state,confidence,p_alert,p_drowsy,p_microsleep,p_yawning,p_distraction,closed_probability,ocular_reliability,closure_duration_seconds,perclos_10s,perclos_30s,perclos_60s,slow_perclos_10s,slow_perclos_30s,slow_perclos_60s,perclos_10s_reliable,perclos_30s_reliable,perclos_60s_reliable,nod_probability,microsleep_active,drowsy_episode_active,latency_ms
0,0.0,1,drowsy,drowsy,0.355543,0.179267,0.355543,0.0,0.17371,0.29148,0.708606,0.552166,0.0,0.708606,0.708606,0.708606,0.0,0.0,0.0,False,False,False,0.0,False,False,46.571
1,0.05,1,drowsy,drowsy,0.526518,0.120654,0.526518,0.0,0.102613,0.250215,0.62722,0.652632,0.0,0.66452,0.66452,0.66452,0.0,0.0,0.0,False,False,False,0.0,False,False,37.161
2,0.1,1,drowsy,drowsy,0.406714,0.180533,0.406714,0.0,0.106341,0.306412,0.402587,0.809049,0.0,0.55929,0.55929,0.55929,0.0,0.0,0.0,False,False,False,0.0,False,False,36.583
3,0.15,0,alert,alert,0.397583,0.397583,0.14387,0.0,0.091761,0.366786,0.182592,0.900901,0.0,0.442859,0.442859,0.442859,0.0,0.0,0.0,False,False,False,0.0,False,False,36.245
4,0.2,0,alert,alert,0.655654,0.655654,0.024142,0.0,0.060928,0.259278,0.093601,0.938363,0.0,0.357802,0.357802,0.357802,0.0,0.0,0.0,False,False,False,0.0,False,False,36.451
5,0.25,0,alert,alert,0.60795,0.60795,0.010893,0.0,0.037061,0.344096,0.448549,0.847661,0.0,0.374166,0.374166,0.374166,0.0,0.0,0.0,False,False,False,0.0,False,False,45.284
6,0.3,0,alert,alert,0.692439,0.692439,0.003753,0.0,0.02275,0.281058,0.299614,0.918561,0.0,0.36198,0.36198,0.36198,0.0,0.0,0.0,False,False,False,0.0,False,False,37.019
7,0.35,0,alert,alert,0.794252,0.794252,0.0014,0.0,0.012336,0.192013,0.128234,0.944149,0.0,0.328356,0.328356,0.328356,0.0,0.0,0.0,False,False,False,0.0,False,False,36.519
8,0.4,0,alert,alert,0.885475,0.885475,0.000624,0.0,0.006129,0.107773,0.055497,0.952771,0.0,0.293768,0.293768,0.293768,0.0,0.0,0.0,False,False,False,0.0,False,False,36.795
9,0.45,0,alert,alert,0.908622,0.908622,0.000402,0.0,0.003467,0.087509,0.042186,0.95473,0.0,0.265413,0.265413,0.265413,0.0,0.0,0.0,False,False,False,0.0,False,False,37.108
