frame_id,timestamp,state_id,state,predicted_driver_state,confidence,p_alert,p_drowsy,p_microsleep,p_yawning,p_distraction,closed_probability,ocular_reliability,closure_duration_seconds,perclos_10s,perclos_30s,perclos_60s,slow_perclos_10s,slow_perclos_30s,slow_perclos_60s,perclos_10s_reliable,perclos_30s_reliable,perclos_60s_reliable,nod_probability,microsleep_active,drowsy_episode_active,latency_ms
0,0.0,0,alert,alert,0.295218,0.295218,0.141235,0.0,0.268447,0.2951,0.398871,0.718815,0.0,0.398871,0.398871,0.398871,0.0,0.0,0.0,False,False,False,0.0,False,False,2607.765
1,0.05,0,alert,alert,0.373934,0.373934,0.045419,0.0,0.340028,0.240619,0.383556,0.822717,0.0,0.390697,0.390697,0.390697,0.0,0.0,0.0,False,False,False,0.0,False,False,44.803
2,0.1,0,alert,alert,0.412735,0.412735,0.01304,0.0,0.344035,0.23019,0.374442,0.878118,0.0,0.384798,0.384798,0.384798,0.0,0.0,0.0,False,False,False,0.0,False,False,44.041
3,0.15,0,alert,alert,0.497514,0.497514,0.004309,0.0,0.3288,0.169376,0.269015,0.918266,0.0,0.352946,0.352946,0.352946,0.0,0.0,0.0,False,False,False,0.0,False,False,43.574
4,0.2,0,alert,alert,0.640676,0.640676,0.001719,0.0,0.205493,0.152113,0.205696,0.933179,0.0,0.320774,0.320774,0.320774,0.0,0.0,0.0,False,False,False,0.0,False,False,43.639
5,0.25,0,alert,alert,0.781466,0.781466,0.000791,0.0,0.10296,0.114783,0.15427,0.943013,0.0,0.29066,0.29066,0.29066,0.0,0.0,0.0,False,False,False,0.0,False,False,46.44
6,0.3,0,alert,alert,0.820423,0.820423,0.000519,0.0,0.071316,0.107742,0.222192,0.932988,0.0,0.280268,0.280268,0.280268,0.0,0.0,0.0,False,False,False,0.0,False,False,38.098
7,0.35,0,alert,alert,0.859134,0.859134,0.000375,0.0,0.045623,0.094867,0.230716,0.932848,0.0,0.273739,0.273739,0.273739,0.0,0.0,0.0,False,False,False,0.0,False,False,37.452
8,0.4,0,alert,alert,0.882489,0.882489,0.000298,0.0,0.027967,0.089246,0.152292,0.944345,0.0,0.259447,0.259447,0.259447,0.0,0.0,0.0,False,False,False,0.0,False,False,36.999
9,0.45,0,alert,alert,0.907589,0.907589,0.000252,0.0,0.022711,0.069448,0.106558,0.950877,0.0,0.243249,0.243249,0.243249,0.0,0.0,0.0,False,False,False,0.0,False,False,36.908
