frame_id,timestamp,state_id,state,predicted_driver_state,confidence,p_alert,p_drowsy,p_microsleep,p_yawning,p_distraction,closed_probability,ocular_reliability,closure_duration_seconds,perclos_10s,perclos_30s,perclos_60s,slow_perclos_10s,slow_perclos_30s,slow_perclos_60s,perclos_10s_reliable,perclos_30s_reliable,perclos_60s_reliable,nod_probability,microsleep_active,drowsy_episode_active,latency_ms
0,0.0,4,distraction,distracted,0.484583,0.214851,0.152326,0.0,0.148239,0.484583,0.27121,0.742323,0.0,0.27121,0.27121,0.27121,0.0,0.0,0.0,False,False,False,0.0,False,False,46.483
1,0.05,4,distraction,distracted,0.80225,0.122392,0.03695,0.0,0.038407,0.80225,0.136855,0.874729,0.0,0.198532,0.198532,0.198532,0.0,0.0,0.0,False,False,False,0.0,False,False,36.374
2,0.1,4,distraction,distracted,0.933033,0.054481,0.006183,0.0,0.006303,0.933033,0.21101,0.901958,0.0,0.203,0.203,0.203,0.0,0.0,0.0,False,False,False,0.0,False,False,36.657
3,0.15,4,distraction,distracted,0.956709,0.039993,0.001645,0.0,0.001653,0.956709,0.142673,0.929624,0.0,0.186738,0.186738,0.186738,0.0,0.0,0.0,False,False,False,0.0,False,False,36.99
4,0.2,4,distraction,distracted,0.961319,0.037253,0.000715,0.0,0.000714,0.961319,0.081116,0.943306,0.0,0.164052,0.164052,0.164052,0.0,0.0,0.0,False,False,False,0.0,False,False,36.432
5,0.25,4,distraction,distracted,0.961576,0.037533,0.00045,0.0,0.000441,0.961576,0.059332,0.947529,0.0,0.145469,0.145469,0.145469,0.0,0.0,0.0,False,False,False,0.0,False,False,46.111
6,0.3,4,distraction,distracted,0.947359,0.051857,0.000404,0.0,0.00038,0.947359,0.05995,0.946301,0.0,0.132594,0.132594,0.132594,0.0,0.0,0.0,False,False,False,0.0,False,False,37.032
7,0.35,4,distraction,distracted,0.943252,0.056051,0.000368,0.0,0.000328,0.943252,0.059169,0.947119,0.0,0.12298,0.12298,0.12298,0.0,0.0,0.0,False,False,False,0.0,False,False,36.634
8,0.4,4,distraction,distracted,0.954888,0.044511,0.000325,0.0,0.000276,0.954888,0.058512,0.947898,0.0,0.11551,0.11551,0.11551,0.0,0.0,0.0,False,False,False,0.0,False,False,36.87
9,0.45,4,distraction,distracted,0.949256,0.050126,0.00034,0.0,0.000278,0.949256,0.0605,0.947057,0.0,0.109802,0.109802,0.109802,0.0,0.0,0.0,False,False,False,0.0,False,False,36.94
10,0.5,4,distraction,distracted,0.937912,0.061444,0.000356,0.0,0.000287,0.937912,0.052451,0.949021,0.0,0.104401,0.104401,0.104401,0.0,0.0,0.0,False,False,False,0.0,False,False,45.952
11,0.55,4,distraction,distracted,0.934372,0.064981,0.000357,0.0,0.00029,0.934372,0.05267,0.947721,0.0,0.099954,0.099954,0.099954,0.0,0.0,0.0,False,False,False,0.0,False,False,37.16
12,0.6,4,distraction,distracted,0.925111,0.074244,0.000354,0.0,0.000291,0.925111,0.04969,0.949826,0.0,0.095967,0.095967,0.095967,0.0,0.0,0.0,False,False,False,0.0,False,False,36.944
13,0.65,4,distraction,distracted,0.905025,0.094301,0.000365,0.0,0.000309,0.905025,0.046427,0.95071,0.0,0.092323,0.092323,0.092323,0.0,0.0,0.0,False,False,False,0.0,False,False,37.152
14,0.7,4,distraction,distracted,0.909905,0.089448,0.000347,0.0,0.0003,0.909905,0.053034,0.947386,0.0,0.08964,0.08964,0.08964,0.0,0.0,0.0,False,False,False,0.0,False,False,37.099
15,0.75,4,distraction,distracted,0.910336,0.089001,0.000353,0.0,0.00031,0.910336,0.071437,0.94105,0.0,0.088484,0.088484,0.088484,0.0,0.0,0.0,False,False,False,0.0,False,False,45.523
16,0.8,4,distraction,distracted,0.937784,0.061608,0.000335,0.0,0.000273,0.937784,0.377989,0.884727,0.0,0.1048,0.1048,0.1048,0.0,0.0,0.0,False,False,False,0.203125,False,False,36.622
17,0.85,4,distraction,distracted,0.940396,0.058967,0.000362,0.0,0.000275,0.940396,0.445154,0.887835,0.0,0.123018,0.123018,0.123018,0.0,0.0,0.0,False,False,False,0.0,False,False,36.676
18,0.9,4,distraction,distracted,0.962396,0.037033,0.000334,0.0,0.000236,0.962396,0.522453,0.86282,0.0,0.14277,0.14277,0.14277,0.0,0.0,0.0,False,False,False,0.215027,False,False,36.964
19,0.95,4,distraction,distracted,0.961196,0.03818,0.000379,0.0,0.000245,0.961196,0.504955,0.885035,0.0,0.160253,0.160253,0.160253,0.0,0.0,0.0,False,False,False,0.0,False,False,36.659
20,1.0,4,distraction,distracted,0.931182,0.068001,0.000512,0.0,0.000305,0.931182,0.441019,0.900347,0.0,0.173396,0.173396,0.173396,0.0,0.0,0.0,False,False,False,0.0,False,False,46.563
21,1.05,4,distraction,distracted,0.862403,0.13657,0.000629,0.0,0.000397,0.862403,0.300415,0.917531,0.0,0.179179,0.179179,0.179179,0.0,0.0,0.0,False,False,False,0.0,False,False,37.49
22,1.1,4,distraction,distracted,0.729296,0.269415,0.000759,0.0,0.000531,0.729296,0.145191,0.9335,0.0,0.177674,0.177674,0.177674,0.0,0.0,0.0,False,False,False,0.0,False,False,37.221
