frame_id,timestamp,state_id,state,predicted_driver_state,confidence,p_alert,p_drowsy,p_microsleep,p_yawning,p_distraction,closed_probability,ocular_reliability,closure_duration_seconds,perclos_10s,perclos_30s,perclos_60s,slow_perclos_10s,slow_perclos_30s,slow_perclos_60s,perclos_10s_reliable,perclos_30s_reliable,perclos_60s_reliable,nod_probability,microsleep_active,drowsy_episode_active,latency_ms
0,0.0,0,alert,alert,0.378698,0.378698,0.126906,0.0,0.29034,0.204056,0.24957,0.761344,0.0,0.24957,0.24957,0.24957,0.0,0.0,0.0,False,False,False,0.0,False,False,47.05
1,0.05,0,alert,alert,0.593813,0.593813,0.035647,0.0,0.250614,0.119927,0.108205,0.895454,0.0,0.173166,0.173166,0.173166,0.0,0.0,0.0,False,False,False,0.0,False,False,37.969
2,0.1,0,alert,alert,0.797416,0.797416,0.008058,0.0,0.134943,0.059583,0.060292,0.936267,0.0,0.132411,0.132411,0.132411,0.0,0.0,0.0,False,False,False,0.0,False,False,37.57
3,0.15,0,alert,alert,0.893892,0.893892,0.002338,0.0,0.069874,0.033896,0.064515,0.942221,0.0,0.114315,0.114315,0.114315,0.0,0.0,0.0,False,False,False,0.0,False,False,37.192
4,0.2,0,alert,alert,0.945948,0.945948,0.000909,0.0,0.028004,0.025138,0.063308,0.945923,0.0,0.103549,0.103549,0.103549,0.0,0.0,0.0,False,False,False,0.0,False,False,37.155
5,0.25,0,alert,alert,0.962223,0.962223,0.000529,0.0,0.015447,0.021801,0.308952,0.907279,0.0,0.138133,0.138133,0.138133,0.0,0.0,0.0,False,False,False,0.0,False,False,45.862
6,0.3,0,alert,alert,0.965297,0.965297,0.000479,0.0,0.009279,0.024946,0.499668,0.83201,0.0,0.18649,0.18649,0.18649,0.0,0.0,0.0,False,False,False,0.0,False,False,37.66
7,0.35,0,alert,alert,0.975533,0.975533,0.000468,0.0,0.005783,0.018216,0.500803,0.852082,0.0,0.224357,0.224357,0.224357,0.0,0.0,0.0,False,False,False,0.0,False,False,37.351
8,0.4,0,alert,alert,0.981952,0.981952,0.000389,0.0,0.004077,0.013581,0.423041,0.900488,0.0,0.246797,0.246797,0.246797,0.0,0.0,0.0,False,False,False,0.0,False,False,37.186
9,0.45,0,alert,alert,0.985537,0.985537,0.000322,0.0,0.002973,0.011167,0.257715,0.929369,0.0,0.247936,0.247936,0.247936,0.0,0.0,0.0,False,False,False,0.0,False,False,37.048
10,0.5,0,alert,alert,0.986603,0.986603,0.000282,0.0,0.002245,0.010869,0.096939,0.947425,0.0,0.233412,0.233412,0.233412,0.0,0.0,0.0,False,False,False,0.0,False,False,46.291
