frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.02665,0.02818,0.02511,0.00378,7.5543,-13.85374,-7.50396,0.06108,0.33018,1.23048,0.80343,0.70967,0.75655,0.00773,0.00293,75.47863,0.0,0.0,0.0,0.0,0.0,1
1,0.05,1,0.11592,0.11846,0.11339,0.00261,7.42474,-13.55631,-7.21612,0.06623,0.33637,1.25688,0.60336,0.47627,0.53981,0.00695,0.00269,74.44502,0.0,0.0,0.0,0.0,0.0,0
2,0.1,1,0.28308,0.27023,0.29594,0.00382,7.45099,-13.83957,-6.637,0.0664,0.33232,1.27571,0.17437,0.14978,0.16207,0.0055,0.00263,74.24103,0.0,0.0,0.0,0.0,0.0,0
3,0.15,1,0.32309,0.31749,0.32869,0.00399,7.20133,-13.82474,-6.104,0.05614,0.33329,1.28209,0.10384,0.05416,0.079,0.00439,0.00238,74.87659,0.0,0.0,0.0,0.0,0.0,0
4,0.2,1,0.26999,0.26743,0.27255,0.00419,7.30095,-13.94799,-5.55995,0.0601,0.33284,1.27352,0.22645,0.19286,0.20965,0.00533,0.00338,73.79147,0.0,0.0,0.0,0.0,0.0,0
5,0.25,1,0.03652,0.03514,0.0379,0.00282,7.55624,-14.17132,-5.41074,0.06743,0.31577,1.27623,0.79078,0.75665,0.77371,0.00523,0.0031,75.81271,0.0,0.0,0.0,0.0,0.0,1
6,0.3,1,0.18727,0.17662,0.19791,0.0025,7.49698,-14.19047,-5.02711,0.07183,0.32658,1.27495,0.41521,0.42434,0.41978,0.00546,0.00317,73.50381,0.0,0.0,0.0,0.0,0.0,0
7,0.35,1,0.27344,0.2661,0.28078,0.00369,7.19934,-14.14001,-4.65992,0.0657,0.32866,1.27481,0.19544,0.17242,0.18393,0.00411,0.0025,73.58913,0.0,0.0,0.0,0.0,0.0,0
8,0.4,1,0.31788,0.31554,0.32023,0.00432,6.96371,-13.892,-4.60752,0.06087,0.3278,1.2682,0.10892,0.0483,0.07861,0.00456,0.00251,74.15672,0.0,0.0,0.0,0.0,0.0,0
9,0.45,1,0.32759,0.32315,0.33202,0.00437,6.74778,-13.67008,-4.45872,0.05825,0.32922,1.26677,0.08529,0.04023,0.06276,0.00493,0.00266,74.11401,0.0,0.0,0.0,0.0,0.0,0
10,0.5,1,0.32968,0.32692,0.33245,0.00518,6.67154,-13.6772,-4.53006,0.05839,0.32713,1.26675,0.08023,0.03722,0.05872,0.00491,0.00261,74.02375,0.0,0.0,0.0,0.0,0.0,1
11,0.55,1,0.32928,0.3275,0.33106,0.0056,6.63241,-13.61041,-4.48154,0.05831,0.32911,1.265,0.07815,0.03531,0.05673,0.00546,0.00277,74.00335,0.0,0.0,0.0,0.0,0.0,0
12,0.6,1,0.3301,0.3281,0.33209,0.00593,6.62647,-13.70521,-4.41664,0.05826,0.3266,1.26097,0.07912,0.03574,0.05743,0.00502,0.00251,73.90027,0.0,0.0,0.0,0.0,0.0,0
13,0.65,1,0.32988,0.32779,0.33197,0.00543,6.57989,-13.758,-4.38809,0.0585,0.32681,1.26015,0.08329,0.03812,0.06071,0.00461,0.00228,73.73458,0.0,0.0,0.0,0.0,0.0,0
14,0.7,1,0.32524,0.32361,0.32686,0.00483,6.60175,-13.84498,-4.34267,0.06035,0.32386,1.25658,0.09681,0.04408,0.07044,0.00424,0.00186,73.54738,0.0,0.0,0.0,0.0,0.0,0
15,0.75,1,0.32214,0.32062,0.32365,0.0049,6.60985,-13.82304,-4.2445,0.06086,0.32401,1.25323,0.10786,0.04756,0.07771,0.00313,0.00134,73.51657,0.0,0.0,0.0,0.0,0.0,1
16,0.8,1,0.31885,0.31717,0.32053,0.00563,6.67079,-13.99249,-4.21035,0.06176,0.32142,1.25364,0.11092,0.05163,0.08128,0.00356,0.00137,73.3808,0.0,0.0,0.0,0.0,0.0,0
17,0.85,1,0.31793,0.31764,0.31822,0.00555,6.60632,-14.12505,-4.20208,0.06109,0.32107,1.25167,0.11537,0.05211,0.08374,0.00422,0.00145,73.34807,0.0,0.0,0.0,0.0,0.0,0
18,0.9,1,0.15965,0.14907,0.17022,0.00578,6.63253,-14.3567,-4.4354,0.05648,0.31557,1.24055,0.48768,0.49217,0.48993,0.00508,0.00222,71.79742,0.0,0.0,0.0,0.0,0.0,0
19,0.95,1,0.03845,0.02506,0.05185,0.00631,6.90055,-14.63297,-4.78905,0.05815,0.28789,1.23114,0.86911,0.79671,0.83291,0.0046,0.00168,74.54957,0.0,0.0,0.0,0.0,0.0,0
20,1.0,1,0.06736,0.07073,0.06398,0.00623,6.66802,-14.09901,-4.83779,0.05119,0.31009,1.23226,0.7079,0.63595,0.67192,0.00418,0.00149,73.01009,0.0,0.0,0.0,0.0,0.0,1
21,1.05,1,0.13491,0.14662,0.12321,0.00611,6.63134,-13.97994,-4.88036,0.05113,0.31528,1.22848,0.60231,0.4527,0.5275,0.00384,0.00133,72.58778,0.0,0.0,0.0,0.0,0.0,0
22,1.1,1,0.23371,0.24303,0.22439,0.00546,6.89591,-13.84803,-5.05063,0.05798,0.32043,1.23427,0.31514,0.1782,0.24667,0.00347,0.00102,73.19528,0.0,0.0,0.0,0.0,0.0,0
